"Site","ListName","ListURL","Project Manager","Region","Service Manager","SO Sharepoint Link","SP Number","SC Number","SCD","Installed Capacity (MW)","WTG Type"
"Empire Wind 1","Empire Wind 1 -SGM","https://vestas.sharepoint.com/sites/EW1-so/Lists/SGM%20Rev2%2011Nov2024","Steven Gould","AME","Steven Gould","https://vestas.sharepoint.com/sites/EW1-so","61793","042486","01/09/2026","810","V236 Mk0A"
"TPC Phase II","TPC Phase II","https://vestas.sharepoint.com/sites/SGM-sgsf/Lists/TPC%20Phase%20II","Mark Challinor","APAC","Mark Challinor","https://vestas.sharepoint.com/sites/TPC2-so","60987","038067","11/04/2025","295","V174 Mk3A"
"Fengmiao","SGM Tasklist","https://vestas.sharepoint.com/sites/fengmiao1-so/SGM%20Tasklist/AllItems.aspx","Pan Ning Ting","APAC","Mark Challinor","https://vestas.sharepoint.com/sites/fengmiao1-so/SGM%20Tasklist/AllItems.aspx","61791","042452","07/09/2027","495","V236 Mk0A"
"Katagami","SGM Sandbox 2025","https://vestas.sharepoint.com/sites/KTG-so/Lists/SGM%20Sandbox%202025/AllItems.aspx","Roger John Steward","APAC","Mark Challinor","https://vestas.sharepoint.com/sites/KTG-so","67067","042853","30/06/2028","315","V236 Mk0A"
"Baltic Power","SGM Tasklist","https://vestas.sharepoint.com/sites/BP-so/Lists/SGM%20Tasklist%202/AllItems.aspx","Ichiro Yonaha","NCE","Daria Jeziorna","https://vestas.sharepoint.com/sites/BP-so","61545","041176","14/03/2026","1140","V236 Mk0A"
"NSCA","SGM - NSCA","https://vestas.sharepoint.com/sites/SGM-sgsf/Lists/SGM%20%20NSCA","Arran Burton","NCE","Henrik Lehmkuhl","https://vestas.sharepoint.com/sites/nsc-so","62783","042110","13/07/2026","660","V236 Mk0A"
"He Dreith","SGM Tasklist","https://vestas.sharepoint.com/sites/HD-so/Lists/SGM%20Tasklist/AllItems.aspx","Ichiro Yonaha","NCE","Sebastian Mügge","https://vestas.sharepoint.com/sites/HD-so","60423","041196","17/09/2025","960","V236 Mk0A"
"Inch Cape","Inch Cape","https://vestas.sharepoint.com/sites/SGM-sgsf/Lists/Inch%20Cape/AllItems.aspx","Richard Hughes","NCE","Kenneth Robertson","https://vestas.sharepoint.com/sites/InchCape-so","65087","042356","29/11/2026","1080","V236 Mk0A"
"Oranjewind","NCE - Oranjewind","https://vestas.sharepoint.com/sites/SGM-sgsf/Lists/NCE%20%20Oranjewind/AllItems.aspx","Andreas Wærn Madsen","NCE","Klejda Hoxha","https://vestas.sharepoint.com/sites/Oranjewind-so","66273","042218","28/03/2027","795","V236 Mk0A"
"Nordlicht 1","NCE - Nordlicht 1","https://vestas.sharepoint.com/sites/SGM-sgsf/Lists/NCE%20%20Nordlicht%201/AllItems.aspx?as=json","Ryan Kerr","NCE","Jochen Holling","https://vestas.sharepoint.com/sites/Nordlicht-so","64340","043345","19/07/2027","1020","V236 Mk0A"
"HKW 6","SGM_Tasklist","https://vestas.sharepoint.com/sites/HKWVI-so/Lists/SGM_Tasklist/AllItems.aspx","Joshua Lines","NCE","Niels Alexandre Visser","https://vestas.sharepoint.com/sites/HKWVI-so","65456","041373","03/06/2026","780","V236 Mk0A"
"Baltic Eagle","SGM Tasklist","https://vestas.sharepoint.com/sites/baleag-so/Lists/SGM%20Tasklist/AllItems.aspx","Ichiro Yonaha","NCE",,"https://vestas.sharepoint.com/sites/baleag-so/SitePages/Home.aspx","60920","037425","10/04/2024","475","V174 Mk3A"
